CNTRY_NAME,LAT,LONG,Vol_2008,Vol_2009,Vol_2010,Vol_2011,Vol_2012,Vol_2013,Vol_2014,Vol_2015,Vol_2016,Vol_2017,Vol_2018,Vol_Total,Perc_2008,Perc_2009,Perc_2010,Perc_2011,Perc_2012,Perc_2013,Perc_2014,Perc_2015,Perc_2016,Perc_2017,Perc_2018,Total_Perc
Afghanistan,33,66,78,280,245,520,410,144,69,94,72,282,206,2401,1.15,4.05,3.03,5.76,4.51,1.90,0.72,0.95,0.72,2.26,1.96,2.40
Albania,41,20,0,0,0,0,0,0,0,0,0,4,1,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.01
Algeria,28,3,0,0,11,11,0,0,0,5,19,0,3,49,0.00,0.00,0.14,0.12,0.00,0.00,0.00,0.05,0.19,0.00,0.03,0.05
Angola,-12.5,18.5,0,0,0,0,0,1,0,0,0,1,0,2,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00
Argentina,-34,-64,17,8,3,1,3,6,4,18,6,33,7,106,0.25,0.12,0.04,0.01,0.03,0.08,0.04,0.18,0.06,0.26,0.07,0.11
Australia,-25,135,320,612,1391,996,581,140,318,836,888,1089,918,8089,4.71,8.85,17.23,11.04,6.39,1.85,3.31,8.42,8.92,8.72,8.74,8.09
Azerbaijan,40.5,47.5,0,0,1,1,2,0,1,0,0,0,0,4,0.00,0.00,0.01,0.01,0.02,0.00,0.01,0.00,0.00,0.00,0.00,0.00
Bahamas,24,-76,0,1,0,0,0,0,0,0,0,0,0,1,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bahrain,26,50.5,2,0,68,0,0,60,0,15,0,19,15,178,0.03,0.00,0.84,0.00,0.00,0.79,0.00,0.15,0.00,0.15,0.14,0.18
Bangladesh,24,90,0,0,0,0,0,56,0,54,0,0,0,110,0.00,0.00,0.00,0.00,0.00,0.74,0.00,0.54,0.00,0.00,0.00,0.11
Belgium,50.833333,4,6,12,3,2,6,2,2,7,4,7,1,54,0.09,0.17,0.04,0.02,0.07,0.03,0.02,0.07,0.04,0.06,0.01,0.05
Bolivia,-17,-65,0,0,0,1,1,1,6,0,0,0,0,8,0.00,0.00,0.00,0.01,0.01,0.01,0.06,0.00,0.00,0.00,0.00,0.01
Botswana,-22,24,0,2,2,0,0,0,0,0,0,0,2,5,0.00,0.03,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.01
Brazil,-10,-55,33,0,24,84,111,69,17,37,31,12,60,478,0.49,0.00,0.30,0.93,1.22,0.91,0.18,0.37,0.31,0.10,0.57,0.48
Brunei,4.5,114.666667,0,0,0,0,0,15,36,36,0,0,0,87,0.00,0.00,0.00,0.00,0.00,0.20,0.37,0.36,0.00,0.00,0.00,0.09
Bulgaria,43,25,5,0,0,3,0,0,0,3,0,0,0,11,0.07,0.00,0.00,0.03,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.01
Burundi,-3.5,30,0,0,0,0,0,0,0,1,2,0,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.00,0.00
Cameroon,6,12,0,0,10,0,0,2,0,1,0,0,2,14,0.00,0.00,0.12,0.00,0.00,0.03,0.00,0.01,0.00,0.00,0.02,0.01
Canada,60,-96,350,99,197,311,181,170,202,316,128,186,121,2262,5.15,1.43,2.44,3.45,1.99,2.25,2.10,3.18,1.29,1.49,1.15,2.26
Chad,15,19,0,0,0,0,0,0,6,0,0,2,0,8,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.02,0.00,0.01
Chile,-30,-71,0,30,132,39,38,31,61,81,18,0,44,474,0.00,0.43,1.63,0.43,0.42,0.41,0.64,0.82,0.18,0.00,0.42,0.47
Colombia,4,-72,16,147,58,80,77,99,25,55,15,36,3,611,0.24,2.13,0.72,0.89,0.85,1.31,0.26,0.55,0.15,0.29,0.03,0.61
Costa Rica,10,-84,0,0,0,0,1,0,1,0,0,0,0,2,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00
Croatia,45.166667,15.5,0,0,0,0,0,0,22,0,20,2,2,46,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.20,0.02,0.02,0.05
Democratic Republic of the Congo,0,25,0,28,0,0,0,0,0,0,0,0,0,28,0.00,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03
Denmark,56,10,3,0,0,0,32,28,28,42,102,52,32,320,0.04,0.00,0.00,0.00,0.35,0.37,0.29,0.42,1.02,0.42,0.30,0.32
Djibouti,11.5,42.5,0,0,0,0,0,0,5,0,1,0,0,5,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.01,0.00,0.00,0.01
Dominican Republic,19,-70.666667,0,0,0,0,0,0,0,1,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00
Ecuador,-2,-77.5,0,1,10,0,0,0,0,0,0,0,0,10,0.00,0.01,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
Egypt,27,30,263,82,249,160,177,494,182,593,226,218,197,2839,3.87,1.19,3.08,1.77,1.95,6.52,1.90,5.97,2.27,1.75,1.87,2.84
El Salvador,13.833333,-88.916667,0,0,0,0,2,0,0,0,0,0,0,2,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Equatorial Guinea,2,10,0,2,0,0,5,0,10,0,0,0,0,17,0.00,0.03,0.00,0.00,0.06,0.00,0.10,0.00,0.00,0.00,0.00,0.02
Estonia,59,26,0,0,0,0,0,0,0,2,2,2,0,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.00,0.01
Ethiopia,8,38,0,0,0,0,0,0,10,0,0,0,10,19,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.10,0.02
Finland,64,26,9,9,11,2,0,50,44,98,65,34,76,398,0.13,0.13,0.14,0.02,0.00,0.66,0.46,0.99,0.65,0.27,0.72,0.40
France,46,2,2,0,51,23,39,55,17,17,32,52,50,338,0.03,0.00,0.63,0.25,0.43,0.73,0.18,0.17,0.32,0.42,0.48,0.34
Gabon,-1,11.75,0,0,1,0,0,0,0,0,0,0,0,1,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Georgia,41.999981,43.499905,2,4,0,0,0,0,1,0,0,7,4,18,0.03,0.06,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.06,0.04,0.02
Germany,51.5,10.5,262,319,255,35,25,43,46,5,5,3,2,1000,3.85,4.61,3.16,0.39,0.28,0.57,0.48,0.05,0.05,0.02,0.02,1.00
Ghana,8,-2,0,0,0,2,2,0,4,0,0,0,0,8,0.00,0.00,0.00,0.02,0.02,0.00,0.04,0.00,0.00,0.00,0.00,0.01
Greece,39,22,5,920,151,19,6,8,61,92,22,54,59,1396,0.07,13.31,1.87,0.21,0.07,0.11,0.64,0.93,0.22,0.43,0.56,1.40
